CityName;Latitude;Longitude;PostalCode;CountryCode
Altbrandsleben;52.0736;11.2506;39387;DE
Altdöbern;51.6497;14.0257;03229;DE
Altdorf;49.2857;8.21153;67482;DE
Altdorf;48.5942;9.27214;72655;DE
Altdorf;48.5561;12.1096;84032;DE
Altdorf;48.6302;8.99558;71155;DE
Altdorf;49.3857;11.3565;90518;DE
Altefähr;54.3307;13.1265;18573;DE
Alteglofsheim;48.9209;12.2044;93087;DE
Altena;51.3015;7.67144;58762;DE
Altenahr;50.517;6.99206;53505;DE
Altenau;51.8024;10.4457;38707;DE
Altenbamberg;49.7874;7.832;55585;DE
Altenbeken;51.7615;8.94528;33184;DE
Altenberg;50.764;13.7579;01773;DE
Altenberga;50.8309;11.5411;07768;DE
Altenberge;52.0468;7.46993;48341;DE
Altenbeuthen;50.5927;11.6018;07338;DE
Altenbrak;51.7868;10.951;38889;DE
Altenbuch;49.8282;9.39305;97901;DE
Altenburg;50.9931;12.4367;04600;DE
Altendiez;50.3706;7.98356;65624;DE
Altendorf;49.7994;11.0121;96146;DE
Altendorf;49.4058;12.2818;92540;DE
Altenfeld;50.5639;10.9625;98701;DE
Altenglan;49.55;7.461;66885;DE
Altengottern;51.1635;10.581;99991;DE
Altenhagen;53.7621;13.1042;17091;DE
Altenhagen;54.0268;11.7912;18236;DE
Altenhausen;52.2624;11.2545;39343;DE
Altenhof;52.9129;13.7161;16244;DE
Altenhof;53.3556;12.3569;17209;DE
Altenhof;54.4341;9.87389;24340;DE
Altenholz;54.3896;10.1059;24161;DE
Altenkirchen;54.6362;13.344;18556;DE
Altenkirchen;50.6842;7.63658;57610;DE
Altenkirchen;49.4421;7.31979;66903;DE
Altenkrempe;54.1306;10.7784;23730;DE
Altenkunstadt;50.127;11.2091;96264;DE
Altenmarkt an der Alz;47.9985;12.5351;83352;DE
Altenmedingen;53.1318;10.5982;29575;DE
Altenmoor;53.7597;9.57383;25335;DE
Altenmünster;48.4639;10.5886;86450;DE
Altenpleen;54.3548;12.955;18445;DE
Altenriet;48.591;9.22007;72657;DE
Altenroda;51.2407;11.5667;06642;DE
Altensalzwedel;52.7935;11.3461;29416;DE
Altenstadt;48.1592;10.1107;89281;DE
Altenstadt;50.2883;8.94339;63674;DE
Altenstadt;47.8279;10.8712;86972;DE
Altenstadt an der Waldnaab;49.7156;12.1595;92665;DE
Altensteig;48.5884;8.60606;72213;DE
Altenthann;49.0903;12.2972;93177;DE
Altentreptow;53.6893;13.2437;17087;DE
Altenzaun;52.7399;12.0267;39596;DE
Alterkülz;50.0319;7.46297;56288;DE
Alterode;51.6752;11.3841;06543;DE
Altersbach;50.7042;10.5456;98587;DE
Altertheim;49.7267;9.74502;97237;DE
Altfraunhofen;48.4487;12.1678;84169;DE
Altglietzen;52.8299;14.0915;16259;DE
Althegnenberg;48.2357;11.0666;82278;DE
Altheim;48.3289;9.76963;89605;DE
Altheim;48.1436;9.44985;88499;DE
Altheim (Alb);48.5817;10.025;89174;DE
Althengstett;48.7243;8.79105;75382;DE
Althornbach;49.2035;7.3767;66484;DE
Althütte;48.9138;9.57459;71566;DE
Althüttendorf;52.9593;13.7991;16247;DE
Altjeßnitz;51.6918;12.3211;06800;DE
Altkalen;53.899;12.7389;17179;DE
Altkirchen;50.9329;12.3465;04626;DE
Altlandsberg;52.5641;13.7269;15345;DE
Altlay;49.9884;7.27172;56858;DE
Altleiningen;49.5061;8.07517;67317;DE
Altlußheim;49.2984;8.50296;68804;DE
Altmannstein;48.8982;11.6526;93336;DE
Altmersleben;52.6876;11.4252;39624;DE
Altmittweida;50.9652;12.9509;09648;DE
Altomünster;48.3875;11.2566;85250;DE
Altötting;48.2246;12.6768;84503;DE
Altrich;49.9571;6.90803;54518;DE
Altrip;49.4314;8.49497;67122;DE
Altscheid;50.0195;6.39349;54636;DE
Altshausen;47.9328;9.54131;88361;DE
Altstrimmig;50.0935;7.2927;56858;DE
Altthymen;53.2319;13.1543;16798;DE
Altusried;47.8044;10.2151;87452;DE
Altwarp;53.742;14.2651;17375;DE
Altweidelbach;49.9952;7.56606;55469;DE
Altwigshagen;53.704;13.8352;17379;DE
Alveslohe;53.7898;9.91475;25486;DE
